,word,context,Ada_meaning,ada_is_true
0,правый,Правой он держал старинный дедушкин футляр.,2,0
1,правый,Я думаю/ он прав был.,2,1
2,правый,"-- В принципе ты права,-- ответил он мне, еле переводя дух.-- Но я умею танцевать только танго...",2,1
3,правый,Или я не прав?,2,1
4,правый,"я прям обзавидовалась))) когда-нибудь надеюсь я приду после представления и напишу: Как же ты, Игорь, был прав!",2,1
5,правый,У Комиссарова есть маленькая фотография/ на ней видно/ что захода прямо на ребро нет/ только по правому крутому склону/ он не очень хороший.,3,0
6,правый,"Мне кажется/ что основная задача сейчас правых или/ скажем так/"" Новых правых""/ наверно уже можно говорить/ в развеивании мифа/ что эта партия только бизнеса и только крупного/ среднего и даже только мелкого бизнеса.",3,1
7,правый,К тому же подыграть накануне назначенных на 17 мая выборов в кнессет Нетаньяху и израильским правым ему было явно не с руки.,3,1
8,правый,"Вы знаете/ в качестве встречного замечания/ хочу сказать/ что мы все здесь/ надеюсь/ поддерживаем идею"" Новых правых""/ мы можем получить 30- 35 миллионов электората под свои знамёна очень легко/ если мы сможем организовать реальную кампанию против...",3,1
9,правый,Это очень сложно/ у меня нет готовых рецептов кто этот электорат/ видимо/ надо потратить большие деньги на исследования такие комплексные/ понять/ что и как правые могут предложить своим целевым группам.,3,1
10,болеть,Она болела.,2,1
11,болеть,Болеешь?,2,1
12,болеть,Ухо ещё болит.,2,0
13,болеть,"Кто болел, кто облучился, кто погиб в катастрофе-- мир вашим душам, наши дети!",1,0
14,болеть,"Я плохо зарабатывал, было туго с заказами, и я болел.",1,0
15,болеть,"Была она одинокая кругом, а с тех пор, как стала сильно болеть-- и из колхоза её отпустили.",1,0
16,болеть,Я дома болел.,1,0
17,болеть,"Да нет, ему даже уже не было стыдно, он просто весь болел и пылал, как открытая воспалённая рана.",1,0
18,богатый,Фуражиры большой семьи пчёл в пору богатого взятка преодолевают в сумме расстояние от Земли до Луны.,1,0
19,богатый,"-- ПО СТАТИСТИКЕ ВЦИОМ, отношение к богатым людям за последние годы ухудшилось.",1,0
20,богатый,"Следующую свадьбу после этого он провёл так вдохновенно, что всё огромное и богатое застолье онемело, а невеста расплакалась и уткнулась в плечо жениху.",1,1
21,богатый,Просто богатые должны были больший процент платить налога/ а бедные меньше/ и богатые уклоняются от налогов.,1,0
22,богатый,"Ни счастливый случай, ни богатый дядюшка не являлись.",1,0
23,богатый,Да/ уменьшили ставки с богатых.,3,1
24,богатый,"Более развёрнутое истолкование: если непротиворечивая формальная логическая система настолько богата выразительными средствами, что в ней можно записать утверждение о её собственной непротиворечивости, то это утверждение не может быть выведено в этой системе("" доказана"" и"" выведена"" суть синонимы в этом контексте).",3,0
25,богатый,"Литература ведь гораздо богаче кино, ты читаешь книгу и представляешь прочитанное.",3,0
26,богатый,"А то, что сделало человека могущественным, богатым и элегантным.",3,1
27,купить,Решено: купить избу.,1,1
28,купить,Ты мне мороженку купила?!,1,1
29,купить,Не просто/ зашёл/ купил колбасы/ а ходит/ смотрит/ сегодня я кильку куплю/ банку съем/ а завтра куплю себе колбасы кусочек.,1,1
30,купить,"Купите карту"" Это вообще ужас!",1,1
31,купить,Не просто/ зашёл/ купил колбасы/ а ходит/ смотрит/ сегодня я кильку куплю/ банку съем/ а завтра куплю себе колбасы кусочек.,1,1
